repo_name,file_path,method_name,start_line,end_line,cc,lloc,difficulty,smell_label,coverage_percent,coverage_bucket,risk_category,recommendations
jinja2,src/jinja2/utils.py,urlize,221,339,24,51,5.8,HIGH,33.61,MEDIUM,Refactor Candidate,Add branch and conditional path tests due to high cyclomatic complexity; Consider decomposing this method; add focused unit tests per responsibility; Safe to refactor after ensuring existing tests capture current behavior
attrs,src/attr/_make.py,_transform_attrs,494,600,31,47,4.586206896551724,HIGH,39.25,MEDIUM,Refactor Candidate,Add branch and conditional path tests due to high cyclomatic complexity; Consider decomposing this method; add focused unit tests per responsibility; Safe to refactor after ensuring existing tests capture current behavior
itsdangerous,src/itsdangerous/timed.py,unsign,78,164,4,40,5.727272727272728,HIGH,42.53,MEDIUM,Refactor Candidate,Consider decomposing this method; add focused unit tests per responsibility; Safe to refactor after ensuring existing tests capture current behavior
attrs,src/attr/_make.py,_make_hash,1743,1811,8,40,4.40625,HIGH,50.72,MEDIUM,Refactor Candidate,Consider decomposing this method; add focused unit tests per responsibility; Safe to refactor after ensuring existing tests capture current behavior
jinja2,src/jinja2/runtime.py,__call__,689,763,6,39,4.7727272727272725,HIGH,41.33,MEDIUM,Refactor Candidate,Consider decomposing this method; add focused unit tests per responsibility; Safe to refactor after ensuring existing tests capture current behavior
jinja2,src/jinja2/utils.py,generate_lorem_ipsum,342,394,12,39,4.0588235294117645,HIGH,67.92,MEDIUM,Refactor Candidate,Add branch and conditional path tests due to high cyclomatic complexity; Consider decomposing this method; add focused unit tests per responsibility; Safe to refactor after ensuring existing tests capture current behavior
jinja2,src/jinja2/compiler.py,pop_assign_tracking,781,822,4,36,2.9411764705882355,HIGH,42.86,MEDIUM,Refactor Candidate,Consider decomposing this method; add focused unit tests per responsibility; Safe to refactor after ensuring existing tests capture current behavior
jinja2,src/jinja2/lexer.py,wrap,613,665,14,35,3.571428571428572,HIGH,52.83,MEDIUM,Refactor Candidate,Add branch and conditional path tests due to high cyclomatic complexity; Consider decomposing this method; add focused unit tests per responsibility; Safe to refactor after ensuring existing tests capture current behavior
jinja2,src/jinja2/parser.py,parse_primary,646,678,5,34,1.818181818181818,HIGH,90.91,HIGH,Refactor Candidate,Consider decomposing this method; add focused unit tests per responsibility; Safe to refactor after ensuring existing tests capture current behavior
attrs,src/attr/__init__.py,_make_getattr,75,131,1,32,4.166666666666667,HIGH,47.37,MEDIUM,Refactor Candidate,Consider decomposing this method; add focused unit tests per responsibility; Safe to refactor after ensuring existing tests capture current behavior
attrs,src/attr/_cmp.py,cmp_using,13,99,9,32,4.0,HIGH,33.33,MEDIUM,Refactor Candidate,Consider decomposing this method; add focused unit tests per responsibility; Safe to refactor after ensuring existing tests capture current behavior
jinja2,src/jinja2/ext.py,extract_from_ast,654,730,15,30,3.4,HIGH,20.78,LOW,Hidden Risk,Write tests immediately before modifying this code; Increase coverage by adding input boundary tests; Add branch and conditional path tests due to high cyclomatic complexity; Consider decomposing this method; add focused unit tests per responsibility
attrs,src/attr/__init__.py,__getattr__,81,129,1,29,4.166666666666667,HIGH,51.02,MEDIUM,Refactor Candidate,Safe to refactor after ensuring existing tests capture current behavior
jinja2,src/jinja2/bccache.py,_get_default_cache_dir,212,257,5,27,2.421052631578948,HIGH,2.17,LOW,Hidden Risk,Write tests immediately before modifying this code; Increase coverage by adding input boundary tests
